relative_path,absolute_path,filename,extension,size_bytes,size_human,modified_time,first_level_folder,second_level_folder,depth
node_modules\vite\dist\node\chunks\build.js,C:\Users\Luis\Desktop\das4navy\node_modules\vite\dist\node\chunks\build.js,build.js,.js,203495,198.73 KB,2026-06-06 16:54:21,node_modules,node_modules\vite,5
node_modules\@babel\types\lib\builders\generated\lowercase.js.map,C:\Users\Luis\Desktop\das4navy\node_modules\@babel\types\lib\builders\generated\lowercase.js.map,lowercase.js.map,.map,203104,198.34 KB,2026-06-06 16:54:22,node_modules,node_modules\@babel,6
dist\assets\index-DMcFQBab.js,C:\Users\Luis\Desktop\das4navy\dist\assets\index-DMcFQBab.js,index-DMcFQBab.js,.js,196619,192.01 KB,2026-06-06 17:16:16,dist,dist\assets,2
node_modules\esquery\dist\esquery.esm.min.js.map,C:\Users\Luis\Desktop\das4navy\node_modules\esquery\dist\esquery.esm.min.js.map,esquery.esm.min.js.map,.map,188756,184.33 KB,2026-06-06 16:54:21,node_modules,node_modules\esquery,3
node_modules\esquery\dist\esquery.min.js.map,C:\Users\Luis\Desktop\das4navy\node_modules\esquery\dist\esquery.min.js.map,esquery.min.js.map,.map,188752,184.33 KB,2026-06-06 16:54:22,node_modules,node_modules\esquery,3
node_modules\@babel\types\lib\index.js.flow,C:\Users\Luis\Desktop\das4navy\node_modules\@babel\types\lib\index.js.flow,index.js.flow,.flow,179591,175.38 KB,2026-06-06 16:54:22,node_modules,node_modules\@babel,4
node_modules\@types\react\index.d.ts,C:\Users\Luis\Desktop\das4navy\node_modules\@types\react\index.d.ts,index.d.ts,.ts,177457,173.30 KB,2026-06-06 16:54:21,node_modules,node_modules\@types,3
node_modules\@types\react\ts5.0\index.d.ts,C:\Users\Luis\Desktop\das4navy\node_modules\@types\react\ts5.0\index.d.ts,index.d.ts,.ts,176430,172.29 KB,2026-06-06 16:54:21,node_modules,node_modules\@types,4
node_modules\@babel\helpers\lib\helpers-generated.js.map,C:\Users\Luis\Desktop\das4navy\node_modules\@babel\helpers\lib\helpers-generated.js.map,helpers-generated.js.map,.map,174603,170.51 KB,2026-06-06 16:54:21,node_modules,node_modules\@babel,4
node_modules\@babel\types\lib\index-legacy.d.ts,C:\Users\Luis\Desktop\das4navy\node_modules\@babel\types\lib\index-legacy.d.ts,index-legacy.d.ts,.ts,170968,166.96 KB,2026-06-06 16:54:22,node_modules,node_modules\@babel,4
node_modules\zod\src\v3\types.ts,C:\Users\Luis\Desktop\das4navy\node_modules\zod\src\v3\types.ts,types.ts,.ts,160328,156.57 KB,2026-06-06 16:54:25,node_modules,node_modules\zod,4
node_modules\vite\dist\node\index.d.ts,C:\Users\Luis\Desktop\das4navy\node_modules\vite\dist\node\index.d.ts,index.d.ts,.ts,158084,154.38 KB,2026-06-06 16:54:22,node_modules,node_modules\vite,4
node_modules\hermes-estree\dist\generated\HermesESTreeSelectorTypes.js.flow,C:\Users\Luis\Desktop\das4navy\node_modules\hermes-estree\dist\generated\HermesESTreeSelectorTypes.js.flow,HermesESTreeSelectorTypes.js.flow,.flow,155081,151.45 KB,2026-06-06 16:54:21,node_modules,node_modules\hermes-estree,4
node_modules\@eslint-community\eslint-utils\index.js.map,C:\Users\Luis\Desktop\das4navy\node_modules\@eslint-community\eslint-utils\index.js.map,index.js.map,.map,152486,148.91 KB,2026-06-06 16:54:21,node_modules,node_modules\@eslint-community,3
node_modules\@eslint-community\eslint-utils\index.mjs.map,C:\Users\Luis\Desktop\das4navy\node_modules\@eslint-community\eslint-utils\index.mjs.map,index.mjs.map,.map,152426,148.85 KB,2026-06-06 16:54:21,node_modules,node_modules\@eslint-community,3
node_modules\rolldown\dist\shared\rolldown-build-CrPk_lZe.mjs,C:\Users\Luis\Desktop\das4navy\node_modules\rolldown\dist\shared\rolldown-build-CrPk_lZe.mjs,rolldown-build-CrPk_lZe.mjs,.mjs,151915,148.35 KB,2026-06-06 16:54:22,node_modules,node_modules\rolldown,4
node_modules\ajv\dist\ajv.min.js.map,C:\Users\Luis\Desktop\das4navy\node_modules\ajv\dist\ajv.min.js.map,ajv.min.js.map,.map,149045,145.55 KB,2026-06-06 16:54:22,node_modules,node_modules\ajv,3
node_modules\zod\src\v4\core\schemas.ts,C:\Users\Luis\Desktop\das4navy\node_modules\zod\src\v4\core\schemas.ts,schemas.ts,.ts,148594,145.11 KB,2026-06-06 16:54:25,node_modules,node_modules\zod,5
node_modules\esquery\dist\esquery.lite.min.js.map,C:\Users\Luis\Desktop\das4navy\node_modules\esquery\dist\esquery.lite.min.js.map,esquery.lite.min.js.map,.map,147852,144.39 KB,2026-06-06 16:54:22,node_modules,node_modules\esquery,3
node_modules\rolldown\dist\shared\define-config-3BX_X2Am.d.mts,C:\Users\Luis\Desktop\das4navy\node_modules\rolldown\dist\shared\define-config-3BX_X2Am.d.mts,define-config-3BX_X2Am.d.mts,.mts,141430,138.12 KB,2026-06-06 16:54:22,node_modules,node_modules\rolldown,4
node_modules\esquery\dist\esquery.js,C:\Users\Luis\Desktop\das4navy\node_modules\esquery\dist\esquery.js,esquery.js,.js,140614,137.32 KB,2026-06-06 16:54:21,node_modules,node_modules\esquery,3
node_modules\zod\v3\types.cjs,C:\Users\Luis\Desktop\das4navy\node_modules\zod\v3\types.cjs,types.cjs,.cjs,140156,136.87 KB,2026-06-06 16:54:22,node_modules,node_modules\zod,3
node_modules\globals\index.d.ts,C:\Users\Luis\Desktop\das4navy\node_modules\globals\index.d.ts,index.d.ts,.ts,137498,134.28 KB,2026-06-06 16:54:21,node_modules,node_modules\globals,2
node_modules\esquery\dist\esquery.esm.js,C:\Users\Luis\Desktop\das4navy\node_modules\esquery\dist\esquery.esm.js,esquery.esm.js,.js,131615,128.53 KB,2026-06-06 16:54:21,node_modules,node_modules\esquery,3
node_modules\zod\v3\types.js,C:\Users\Luis\Desktop\das4navy\node_modules\zod\v3\types.js,types.js,.js,131268,128.19 KB,2026-06-06 16:54:23,node_modules,node_modules\zod,3
node_modules\eslint\lib\types\rules.d.ts,C:\Users\Luis\Desktop\das4navy\node_modules\eslint\lib\types\rules.d.ts,rules.d.ts,.ts,130759,127.69 KB,2026-06-06 16:54:23,node_modules,node_modules\eslint,4
node_modules\@babel\types\lib\definitions\core.js.map,C:\Users\Luis\Desktop\das4navy\node_modules\@babel\types\lib\definitions\core.js.map,core.js.map,.map,128496,125.48 KB,2026-06-06 16:54:22,node_modules,node_modules\@babel,5
node_modules\baseline-browser-mapping\dist\index.cjs,C:\Users\Luis\Desktop\das4navy\node_modules\baseline-browser-mapping\dist\index.cjs,index.cjs,.cjs,122223,119.36 KB,2026-06-06 16:54:21,node_modules,node_modules\baseline-browser-mapping,3
node_modules\baseline-browser-mapping\dist\index.js,C:\Users\Luis\Desktop\das4navy\node_modules\baseline-browser-mapping\dist\index.js,index.js,.js,122209,119.34 KB,2026-06-06 16:54:21,node_modules,node_modules\baseline-browser-mapping,3
node_modules\ajv\dist\ajv.min.js,C:\Users\Luis\Desktop\das4navy\node_modules\ajv\dist\ajv.min.js,ajv.min.js,.js,119444,116.64 KB,2026-06-06 16:54:22,node_modules,node_modules\ajv,3
node_modules\esquery\dist\esquery.lite.js,C:\Users\Luis\Desktop\das4navy\node_modules\esquery\dist\esquery.lite.js,esquery.lite.js,.js,115069,112.37 KB,2026-06-06 16:54:21,node_modules,node_modules\esquery,3
node_modules\@babel\helpers\lib\helpers-generated.js,C:\Users\Luis\Desktop\das4navy\node_modules\@babel\helpers\lib\helpers-generated.js,helpers-generated.js,.js,113525,110.86 KB,2026-06-06 16:54:21,node_modules,node_modules\@babel,4
node_modules\@babel\core\lib\vendor\import-meta-resolve.js.map,C:\Users\Luis\Desktop\das4navy\node_modules\@babel\core\lib\vendor\import-meta-resolve.js.map,import-meta-resolve.js.map,.map,109982,107.40 KB,2026-06-06 16:54:22,node_modules,node_modules\@babel,5
node_modules\@eslint-community\regexpp\index.js,C:\Users\Luis\Desktop\das4navy\node_modules\@eslint-community\regexpp\index.js,index.js,.js,109704,107.13 KB,2026-06-06 16:54:21,node_modules,node_modules\@eslint-community,3
node_modules\@eslint-community\regexpp\index.mjs,C:\Users\Luis\Desktop\das4navy\node_modules\@eslint-community\regexpp\index.mjs,index.mjs,.mjs,109467,106.90 KB,2026-06-06 16:54:21,node_modules,node_modules\@eslint-community,3
node_modules\vite\LICENSE.md,C:\Users\Luis\Desktop\das4navy\node_modules\vite\LICENSE.md,LICENSE.md,.md,108460,105.92 KB,2026-06-06 16:54:22,node_modules,node_modules\vite,2
node_modules\uri-js\yarn.lock,C:\Users\Luis\Desktop\das4navy\node_modules\uri-js\yarn.lock,yarn.lock,.lock,103956,101.52 KB,2026-06-06 16:54:22,node_modules,node_modules\uri-js,2
node_modules\@eslint-community\regexpp\index.js.map,C:\Users\Luis\Desktop\das4navy\node_modules\@eslint-community\regexpp\index.js.map,index.js.map,.map,103754,101.32 KB,2026-06-06 16:54:21,node_modules,node_modules\@eslint-community,3
node_modules\@eslint-community\regexpp\index.mjs.map,C:\Users\Luis\Desktop\das4navy\node_modules\@eslint-community\regexpp\index.mjs.map,index.mjs.map,.map,103745,101.31 KB,2026-06-06 16:54:21,node_modules,node_modules\@eslint-community,3
node_modules\globals\globals.json,C:\Users\Luis\Desktop\das4navy\node_modules\globals\globals.json,globals.json,.json,102706,100.30 KB,2026-06-06 16:54:21,node_modules,node_modules\globals,2
node_modules\uri-js\dist\es5\uri.all.js.map,C:\Users\Luis\Desktop\das4navy\node_modules\uri-js\dist\es5\uri.all.js.map,uri.all.js.map,.map,102192,99.80 KB,2026-06-06 16:54:22,node_modules,node_modules\uri-js,4
node_modules\@babel\types\lib\asserts\generated\index.js.map,C:\Users\Luis\Desktop\das4navy\node_modules\@babel\types\lib\asserts\generated\index.js.map,index.js.map,.map,101071,98.70 KB,2026-06-06 16:54:21,node_modules,node_modules\@babel,6
node_modules\@babel\types\lib\validators\generated\index.js,C:\Users\Luis\Desktop\das4navy\node_modules\@babel\types\lib\validators\generated\index.js,index.js,.js,96324,94.07 KB,2026-06-06 16:54:22,node_modules,node_modules\@babel,6
node_modules\zod\src\v4\classic\schemas.ts,C:\Users\Luis\Desktop\das4navy\node_modules\zod\src\v4\classic\schemas.ts,schemas.ts,.ts,94706,92.49 KB,2026-06-06 16:54:25,node_modules,node_modules\zod,5
node_modules\@eslint-community\eslint-utils\index.js,C:\Users\Luis\Desktop\das4navy\node_modules\@eslint-community\eslint-utils\index.js,index.js,.js,88365,86.29 KB,2026-06-06 16:54:21,node_modules,node_modules\@eslint-community,3
node_modules\@babel\traverse\lib\scope\index.js.map,C:\Users\Luis\Desktop\das4navy\node_modules\@babel\traverse\lib\scope\index.js.map,index.js.map,.map,87418,85.37 KB,2026-06-06 16:54:22,node_modules,node_modules\@babel,5
node_modules\@eslint-community\eslint-utils\index.mjs,C:\Users\Luis\Desktop\das4navy\node_modules\@eslint-community\eslint-utils\index.mjs,index.mjs,.mjs,87240,85.20 KB,2026-06-06 16:54:21,node_modules,node_modules\@eslint-community,3
node_modules\ajv\README.md,C:\Users\Luis\Desktop\das4navy\node_modules\ajv\README.md,README.md,.md,86876,84.84 KB,2026-06-06 16:54:22,node_modules,node_modules\ajv,2
node_modules\@babel\types\lib\builders\generated\lowercase.js,C:\Users\Luis\Desktop\das4navy\node_modules\@babel\types\lib\builders\generated\lowercase.js,lowercase.js,.js,85733,83.72 KB,2026-06-06 16:54:22,node_modules,node_modules\@babel,6
node_modules\zod\v4\core\schemas.cjs,C:\Users\Luis\Desktop\das4navy\node_modules\zod\v4\core\schemas.cjs,schemas.cjs,.cjs,85629,83.62 KB,2026-06-06 16:54:22,node_modules,node_modules\zod,4
node_modules\minimatch\dist\esm\index.js.map,C:\Users\Luis\Desktop\das4navy\node_modules\minimatch\dist\esm\index.js.map,index.js.map,.map,85364,83.36 KB,2026-06-06 16:54:22,node_modules,node_modules\minimatch,4
node_modules\minimatch\dist\commonjs\index.js.map,C:\Users\Luis\Desktop\das4navy\node_modules\minimatch\dist\commonjs\index.js.map,index.js.map,.map,85329,83.33 KB,2026-06-06 16:54:22,node_modules,node_modules\minimatch,4
package-lock.json,C:\Users\Luis\Desktop\das4navy\package-lock.json,package-lock.json,.json,83797,81.83 KB,2026-06-06 16:55:09,.,.,0
node_modules\eslint\lib\rules\utils\ast-utils.js,C:\Users\Luis\Desktop\das4navy\node_modules\eslint\lib\rules\utils\ast-utils.js,ast-utils.js,.js,83671,81.71 KB,2026-06-06 16:54:22,node_modules,node_modules\eslint,5
node_modules\zod\src\v4\classic\tests\to-json-schema.test.ts,C:\Users\Luis\Desktop\das4navy\node_modules\zod\src\v4\classic\tests\to-json-schema.test.ts,to-json-schema.test.ts,.ts,83479,81.52 KB,2026-06-06 16:54:25,node_modules,node_modules\zod,6
node_modules\zod\v4\core\schemas.js,C:\Users\Luis\Desktop\das4navy\node_modules\zod\v4\core\schemas.js,schemas.js,.js,83322,81.37 KB,2026-06-06 16:54:23,node_modules,node_modules\zod,4
